_id,zone,x,y,z
98,THE_FARMING_ISLANDS,271,56,-361
99,THE_FARMING_ISLANDS,152,67,-361
100,THE_FARMING_ISLANDS,150,60,-448
101,GOLD_MINE,-47,75,-298
102,GOLD_MINE,-62,104,-289
103,GOLD_MINE,-37,78,-308
104,GOLD_MINE,17,86,-312
105,GOLD_MINE,21,36,-320
106,GOLD_MINE,-44,100,-344
107,GOLD_MINE,-26,94,-340
108,GOLD_MINE,-1,80,-337
109,GOLD_MINE,19,57,-341
110,GOLD_MINE,-19,142,-364
111,GOLD_MINE,-23,113,-353
112,GOLD_MINE,-11,76,-395
113,DEEP_CAVERNS,3,152,85
114,DEEP_CAVERNS,18,74,74
115,DEEP_CAVERNS,-21,25,72
116,DEEP_CAVERNS,3,182,50
117,DEEP_CAVERNS,0,65,57
118,DEEP_CAVERNS,3,14,51
119,DEEP_CAVERNS,9,170,44
120,DEEP_CAVERNS,-60,37,52
121,DEEP_CAVERNS,-35,127,28
122,DEEP_CAVERNS,-18,163,26
123,DEEP_CAVERNS,44,98,23
124,DEEP_CAVERNS,57,161,19
125,DEEP_CAVERNS,29,149,14
126,DEEP_CAVERNS,-2,255,-1
127,DEEP_CAVERNS,-40,72,0
128,DEEP_CAVERNS,-11,102,-16
129,DEEP_CAVERNS,-71,13,5
130,DEEP_CAVERNS,-76,13,24
131,DEEP_CAVERNS,-8,74,-44
132,DEEP_CAVERNS,71,167,-12
133,DEEP_CAVERNS,22,156,-42
134,DWARVEN_MINES,-21,208,-59
135,DWARVEN_MINES,-139,220,-89
136,DWARVEN_MINES,-9,230,-135
137,DWARVEN_MINES,155,189,123
138,DWARVEN_MINES,34,102,86
139,DWARVEN_MINES,133,104,104
140,DWARVEN_MINES,22,127,184
141,DWARVEN_MINES,-110,142,143
142,DWARVEN_MINES,-116,142,154
143,DWARVEN_MINES,-204,131,199
144,DWARVEN_MINES,-53,205,50
145,DWARVEN_MINES,20,121,240
146,DWARVEN_MINES,-18,121,397
147,DWARVEN_MINES,111,160,412
148,DWARVEN_MINES,-195,124,-15
149,SPIDERS_DEN,-279,127,-177
150,SPIDERS_DEN,-185,135,-290
151,SPIDERS_DEN,-147,78,-299
152,SPIDERS_DEN,-169,62,-289
153,SPIDERS_DEN,-297,90,-169
154,SPIDERS_DEN,-309,63,-185
155,SPIDERS_DEN,-309,66,-245
156,SPIDERS_DEN,-203,169,-320
157,SPIDERS_DEN,-222,74,-361
158,SPIDERS_DEN,-140,85,-335
159,SPIDERS_DEN,-198,160,-331
160,SPIDERS_DEN,-160,62,-275
161,SPIDERS_DEN,-301,92,-171
162,SPIDERS_DEN,-294,36,-274
163,SPIDERS_DEN,-204,94,-241
164,SPIDERS_DEN,-336,82,-153
165,SPIDERS_DEN,-422,106,-206
166,SPIDERS_DEN,-322,95,-281
167,SPIDERS_DEN,-336,111,-253
168,CRIMSON_ISLE,-644,125,-689
169,CRIMSON_ISLE,-79,139,-779
170,CRIMSON_ISLE,-352,191,-553
171,CRIMSON_ISLE,-717,164,-981
172,CRIMSON_ISLE,-726,144,-891
173,CRIMSON_ISLE,-690,122,-752
174,CRIMSON_ISLE,-31,178,-907
175,CRIMSON_ISLE,-297,81,-835
176,CRIMSON_ISLE,-462,78,-698
177,CRIMSON_ISLE,-383,71,-883
178,CRIMSON_ISLE,-721,125,-811
179,CRIMSON_ISLE,-480,104,-593
180,CRIMSON_ISLE,-606,154,-800
181,CRIMSON_ISLE,-106,89,-883
182,CRIMSON_ISLE,-343,235,-780
183,CRIMSON_ISLE,-500,127,-795
184,CRIMSON_ISLE,-346,75,-552
185,CRIMSON_ISLE,-445,110,-1026
186,CRIMSON_ISLE,-361,133,-469
187,CRIMSON_ISLE,-247,44,-512
188,CRIMSON_ISLE,-380,141,-1020
189,CRIMSON_ISLE,-310,156,-1008
190,CRIMSON_ISLE,-412,58,-935
191,CRIMSON_ISLE,-396,108,-764
192,CRIMSON_ISLE,-342,101,-484
193,CRIMSON_ISLE,-35,116,-1055
194,CRIMSON_ISLE,-361,69,-425
195,CRIMSON_ISLE,14,108,-769
196,CRIMSON_ISLE,-479,114,-972
197,THE_END,-517,100,-295
198,THE_END,-583,208,-272
199,THE_END,-696,116,-256
200,THE_END,-587,122,-276
201,THE_END,-587,48,-293
202,THE_END,-492,21,-175
203,THE_END,-492,81,-275
204,THE_END,-545,92,-257
205,THE_END,-748,106,-284
206,THE_END,-723,75,-222
207,THE_END,-609,84,-230
208,THE_END,-657,36,-201
209,THE_PARK,-315,89,-72
210,THE_PARK,-294,85,31
211,THE_PARK,-390,61,-6
212,THE_PARK,-357,99,79
213,THE_PARK,-450,113,-87
214,THE_PARK,-471,132,-125
215,THE_PARK,-408,122,-92
216,THE_PARK,-454,120,-58
217,THE_PARK,-404,136,6
218,THE_PARK,-386,108,-69
219,THE_PARK,-370,112,-118
220,JERRYS_WORKSHOP,-95,77,20
221,JERRYS_WORKSHOP,-44,87,76
222,JERRYS_WORKSHOP,-7,108,107
223,JERRYS_WORKSHOP,56,108,64
224,JERRYS_WORKSHOP,74,109,-18
225,THE_RIFT,253,123,90
226,DUNGEON_HUB,17,124,-58
227,DUNGEON_HUB,1,134,75
228,DUNGEON_HUB,10,164,-10
229,DUNGEON_HUB,-139,46,-1
230,DUNGEON_HUB,-55,82,-10
231,DUNGEON_HUB,-4,21,-17
232,DUNGEON_HUB,14,60,99
233,MISC_DUNGEONS,0,0,0
234,MISC_DUNGEONS,0,0,0
235,MISC_DUNGEONS,0,0,0
236,MISC_DUNGEONS,0,0,0
237,MISC_DUNGEONS,0,0,0
238,MISC_DUNGEONS,0,0,0
239,MISC_DUNGEONS,0,0,0
240,MISC_DUNGEONS,0,0,0
241,MISC_DUNGEONS,0,0,0
242,MISC_FISHING,0,0,0
243,MISC_FISHING,0,0,0
244,MISC_FISHING,0,0,0
245,MISC_FISHING,0,0,0
246,MISC_GARDEN,0,0,0
247,MISC_GARDEN,0,0,0
248,MISC_PLACEABLE,0,0,0
249,MISC_GLACITE_MINESHAFTS,0,0,0
250,BACKWATER_BAYOU,33,61,-41
251,BACKWATER_BAYOU,62,76,5
252,BACKWATER_BAYOU,16,59,-7
253,BACKWATER_BAYOU,72,115,-12
254,BACKWATER_BAYOU,2,67,10
255,GALATEA,-601,128,-20
256,GALATEA,-565,95,17
257,GALATEA,-556,94,60
258,GALATEA,-598,107,16
259,GALATEA,-586,90,-26
260,GALATEA,-620,66,32
261,GALATEA,-663,64,62
262,GALATEA,-621,108,-86
263,GALATEA,-696,76,-44
264,GALATEA,-737,101,-17
265,GALATEA,-707,131,1
266,GALATEA,-702,169,-2
