_id,type,x1,y1,z1,x2,y2,z2,serverType
forest_camp,FORAGING_CAMP,-151,72,-50,-101,87,-15,SKYBLOCK_HUB
library_3,LIBRARY,-71,70,-74,-63,78,-85,SKYBLOCK_HUB
thaumaturgist_3,THAUMATURGIST,-56,69,-67,-62,74,-60,SKYBLOCK_HUB
coalmine_1,COAL_MINE,24,61,-146,-31,112,-199,SKYBLOCK_HUB
mining_district,MINING_DISTRICT,-25,55,-93,23,92,-142,SKYBLOCK_HUB
farm,FARM,28,66,-74,107,106,-153,SKYBLOCK_HUB
fishing_outpost,FISHING_OUTPOST,92,69,-21,166,95,-79,SKYBLOCK_HUB
museum_1,PLAYER_MUSEUM,25,78,-3,42,71,5,SKYBLOCK_HUB
museum_2,PLAYER_MUSEUM,21,80,4,38,70,19,SKYBLOCK_HUB
museum_3,PLAYER_MUSEUM,45,84,24,13,65,53,SKYBLOCK_HUB
tangleburgs_path,TANGLEBURGS_PATH,-533,107,-32,-560,122,20,SKYBLOCK_GALATEA
